name,prob
MARY,1.3144999999999998
PATRICIA,0.5365
LINDA,0.5175
BARBARA,0.49
ELIZABETH,0.4685
JENNIFER,0.466
MARIA,0.414
SUSAN,0.397
MARGARET,0.384
DOROTHY,0.3635
LISA,0.35200000000000004
NANCY,0.3345
KAREN,0.3335
BETTY,0.33299999999999996
HELEN,0.33149999999999996
SANDRA,0.3145
DONNA,0.2915
CAROL,0.2825
RUTH,0.281
SHARON,0.261
MICHELLE,0.2595
LAURA,0.255
SARAH,0.254
KIMBERLY,0.252
DEBORAH,0.247
JESSICA,0.245
SHIRLEY,0.24100000000000002
CYNTHIA,0.2345
ANGELA,0.23399999999999999
MELISSA,0.231
BRENDA,0.2275
AMY,0.2255
ANNA,0.22
REBECCA,0.215
VIRGINIA,0.215
KATHLEEN,0.212
PAMELA,0.20800000000000002
MARTHA,0.20600000000000002
DEBRA,0.204
AMANDA,0.20199999999999999
STEPHANIE,0.2
CAROLYN,0.1925
CHRISTINE,0.191
MARIE,0.1895
JANET,0.1895
CATHERINE,0.1865
FRANCES,0.185
ANN,0.182
JOYCE,0.182
DIANE,0.1795
ALICE,0.17850000000000002
JULIE,0.174
HEATHER,0.1685
TERESA,0.168
DORIS,0.1675
GLORIA,0.1675
EVELYN,0.161
JEAN,0.1575
CHERYL,0.1575
MILDRED,0.1565
KATHERINE,0.1565
JOAN,0.153
ASHLEY,0.1515
JUDITH,0.1485
ROSE,0.14800000000000002
JANICE,0.1425
KELLY,0.14150000000000001
NICOLE,0.1405
JUDY,0.138
CHRISTINA,0.1375
KATHY,0.136
THERESA,0.1355
BEVERLY,0.1335
DENISE,0.132
TAMMY,0.1295
IRENE,0.126
JANE,0.125
LORI,0.124
RACHEL,0.121
MARILYN,0.12050000000000001
ANDREA,0.11800000000000001
KATHRYN,0.11699999999999999
LOUISE,0.11449999999999999
SARA,0.11449999999999999
ANNE,0.114
JACQUELINE,0.114
WANDA,0.113
BONNIE,0.1115
JULIA,0.1115
RUBY,0.1105
LOIS,0.11
TINA,0.11
PHYLLIS,0.10949999999999999
NORMA,0.109
PAULA,0.1085
DIANA,0.10800000000000001
ANNIE,0.10800000000000001
LILLIAN,0.10550000000000001
EMILY,0.10400000000000001
ROBIN,0.10400000000000001
PEGGY,0.10400000000000001
CRYSTAL,0.1035
GLADYS,0.1025
RITA,0.102
DAWN,0.10099999999999999
CONNIE,0.1
FLORENCE,0.1
TRACY,0.09849999999999999
EDNA,0.09849999999999999
TIFFANY,0.0975
CARMEN,0.0975
ROSA,0.09699999999999999
CINDY,0.096
GRACE,0.09449999999999999
WENDY,0.0925
VICTORIA,0.09
EDITH,0.0895
KIM,0.08900000000000001
SHERRY,0.08900000000000001
SYLVIA,0.0885
JOSEPHINE,0.0885
THELMA,0.0875
SHANNON,0.0875
SHEILA,0.0875
ETHEL,0.087
ELLEN,0.08650000000000001
ELAINE,0.08650000000000001
MARJORIE,0.08650000000000001
CARRIE,0.0855
CHARLOTTE,0.08449999999999999
MONICA,0.083
ESTHER,0.083
PAULINE,0.0825
EMMA,0.0825
JUANITA,0.08199999999999999
ANITA,0.081
RHONDA,0.081
HAZEL,0.0805
AMBER,0.08
EVA,0.0795
DEBBIE,0.0785
APRIL,0.077
LESLIE,0.077
CLARA,0.0765
LUCILLE,0.0765
JAMIE,0.0765
JOANNE,0.075
ELEANOR,0.075
VALERIE,0.0745
DANIELLE,0.0745
MEGAN,0.0735
ALICIA,0.073
SUZANNE,0.0725
MICHELE,0.0725
GAIL,0.0725
BERTHA,0.07150000000000001
DARLENE,0.071
VERONICA,0.071
JILL,0.071
ERIN,0.0705
GERALDINE,0.0705
LAUREN,0.06849999999999999
CATHY,0.06849999999999999
JOANN,0.068
LORRAINE,0.0675
LYNN,0.0675
SALLY,0.0675
REGINA,0.0665
ERICA,0.065
BEATRICE,0.065
DOLORES,0.0645
BERNICE,0.064
AUDREY,0.0635
YVONNE,0.063
ANNETTE,0.0625
JUNE,0.0625
SAMANTHA,0.062
MARION,0.061
DANA,0.061
STACY,0.0605
ANA,0.06
RENEE,0.06
IDA,0.059000000000000004
VIVIAN,0.059000000000000004
ROBERTA,0.058499999999999996
HOLLY,0.058499999999999996
BRITTANY,0.058499999999999996
MELANIE,0.057999999999999996
LORETTA,0.0575
YOLANDA,0.0575
JEANETTE,0.0575
LAURIE,0.057
KATIE,0.0565
KRISTEN,0.0555
VANESSA,0.0555
ALMA,0.0555
SUE,0.0555
ELSIE,0.055
BETH,0.055
JEANNE,0.0545
VICKI,0.0545
CARLA,0.0535
TARA,0.0535
ROSEMARY,0.0535
EILEEN,0.0525
TERRI,0.0525
GERTRUDE,0.051500000000000004
LUCY,0.051500000000000004
TONYA,0.051
ELLA,0.050499999999999996
STACEY,0.050499999999999996
WILMA,0.0495
GINA,0.0495
KRISTIN,0.0495
JESSIE,0.049
NATALIE,0.049
AGNES,0.049
VERA,0.049
WILLIE,0.048499999999999995
CHARLENE,0.048499999999999995
BESSIE,0.048
DELORES,0.0475
MELINDA,0.047
PEARL,0.047
ARLENE,0.047
MAUREEN,0.046
COLLEEN,0.046
ALLISON,0.046
TAMARA,0.046
JOY,0.0455
GEORGIA,0.0455
CONSTANCE,0.0455
LILLIE,0.045
CLAUDIA,0.045
JACKIE,0.045
MARCIA,0.045
TANYA,0.044500000000000005
NELLIE,0.044500000000000005
MINNIE,0.044500000000000005
MARLENE,0.044000000000000004
HEIDI,0.044000000000000004
GLENDA,0.044000000000000004
LYDIA,0.043
VIOLA,0.043
COURTNEY,0.043
MARIAN,0.043
STELLA,0.0425
CAROLINE,0.0425
DORA,0.042
JO,0.0415
VICKIE,0.040999999999999995
MATTIE,0.0405
TERRY,0.04
MAXINE,0.0395
IRMA,0.0395
MABEL,0.039
MARSHA,0.039
MYRTLE,0.039
LENA,0.0385
CHRISTY,0.0385
DEANNA,0.038
PATSY,0.038
HILDA,0.0375
GWENDOLYN,0.037000000000000005
JENNIE,0.0365
NORA,0.0365
MARGIE,0.036000000000000004
NINA,0.036000000000000004
CASSANDRA,0.036000000000000004
LEAH,0.036000000000000004
PENNY,0.0355
KAY,0.0355
PRISCILLA,0.0355
NAOMI,0.0355
CAROLE,0.0355
BRANDY,0.035
OLGA,0.035
BILLIE,0.0345
DIANNE,0.0345
TRACEY,0.0345
LEONA,0.0345
JENNY,0.034
FELICIA,0.034
SONIA,0.034
MIRIAM,0.033
VELMA,0.033
BECKY,0.033
BOBBIE,0.0325
VIOLET,0.0325
KRISTINA,0.0325
TONI,0.032
MISTY,0.0315
MAE,0.0315
SHELLY,0.031
DAISY,0.031
RAMONA,0.031
SHERRI,0.031
ERIKA,0.0305
KATRINA,0.0305
CLAIRE,0.0305
LINDSEY,0.03
LINDSAY,0.03
GENEVA,0.029500000000000002
GUADALUPE,0.029500000000000002
BELINDA,0.029500000000000002
MARGARITA,0.029500000000000002
SHERYL,0.029500000000000002
CORA,0.028999999999999998
FAYE,0.028999999999999998
ADA,0.0285
NATASHA,0.0285
SABRINA,0.0285
ISABEL,0.0285
MARGUERITE,0.027999999999999997
HATTIE,0.027999999999999997
HARRIET,0.027999999999999997
MOLLY,0.0275
CECILIA,0.0275
KRISTI,0.0275
BRANDI,0.0275
BLANCHE,0.0275
SANDY,0.0275
ROSIE,0.0275
JOANNA,0.0275
IRIS,0.0275
EUNICE,0.027000000000000003
ANGIE,0.027000000000000003
INEZ,0.0265
LYNDA,0.0265
MADELINE,0.026000000000000002
AMELIA,0.026000000000000002
ALBERTA,0.026000000000000002
GENEVIEVE,0.0255
MONIQUE,0.0255
JODI,0.0255
JANIE,0.0255
MAGGIE,0.0255
KAYLA,0.0255
SONYA,0.0255
JAN,0.0255
LEE,0.0255
KRISTINE,0.0255
CANDACE,0.0255
FANNIE,0.025
MARYANN,0.025
OPAL,0.025
ALISON,0.025
YVETTE,0.025
MELODY,0.025
LUZ,0.0245
SUSIE,0.0245
OLIVIA,0.0245
FLORA,0.0245
SHELLEY,0.0245
KRISTY,0.024
MAMIE,0.024
LULA,0.024
LOLA,0.024
VERNA,0.024
BEULAH,0.024
ANTOINETTE,0.024
CANDICE,0.023
JUANA,0.023
JEANNETTE,0.023
PAM,0.023
KELLI,0.023
HANNAH,0.0225
WHITNEY,0.0225
BRIDGET,0.0225
KARLA,0.022000000000000002
CELIA,0.022000000000000002
LATOYA,0.0215
PATTY,0.0215
SHELIA,0.0215
GAYLE,0.0215
DELLA,0.0215
VICKY,0.0215
LYNNE,0.0215
SHERI,0.021
MARIANNE,0.021
KARA,0.020499999999999997
JACQUELYN,0.020499999999999997
ERMA,0.020499999999999997
BLANCA,0.020499999999999997
MYRA,0.02
LETICIA,0.02
PAT,0.02
KRISTA,0.02
ROXANNE,0.02
ANGELICA,0.0195
JOHNNIE,0.0195
ROBYN,0.0195
FRANCIS,0.0195
ADRIENNE,0.0195
ROSALIE,0.0195
ALEXANDRA,0.0195
BROOKE,0.0195
BETHANY,0.0195
SADIE,0.0195
BERNADETTE,0.0195
TRACI,0.019
JODY,0.019
KENDRA,0.019
JASMINE,0.019
NICHOLE,0.019
RACHAEL,0.019
CHELSEA,0.019
MABLE,0.019
ERNESTINE,0.019
MURIEL,0.019
MARCELLA,0.018500000000000003
ELENA,0.018500000000000003
KRYSTAL,0.018500000000000003
ANGELINA,0.018500000000000003
NADINE,0.018000000000000002
KARI,0.018000000000000002
ESTELLE,0.018000000000000002
DIANNA,0.018000000000000002
PAULETTE,0.018000000000000002
LORA,0.018000000000000002
MONA,0.0175
DOREEN,0.0175
ROSEMARIE,0.0175
ANGEL,0.0175
DESIREE,0.0175
ANTONIA,0.0175
HOPE,0.017
GINGER,0.017
JANIS,0.017
BETSY,0.017
CHRISTIE,0.017
FREDA,0.017
MERCEDES,0.0165
MEREDITH,0.0165
LYNETTE,0.0165
TERI,0.0165
CRISTINA,0.0165
EULA,0.0165
LEIGH,0.016
MEGHAN,0.016
SOPHIA,0.016
ELOISE,0.016
ROCHELLE,0.016
GRETCHEN,0.016
CECELIA,0.016
RAQUEL,0.0155
HENRIETTA,0.0155
ALYSSA,0.0155
JANA,0.0155
KELLEY,0.0155
GWEN,0.0155
KERRY,0.0155
JENNA,0.015
TRICIA,0.015
LAVERNE,0.015
OLIVE,0.015
ALEXIS,0.015
TASHA,0.015
SILVIA,0.014499999999999999
ELVIRA,0.014499999999999999
CASEY,0.014499999999999999
DELIA,0.014499999999999999
SOPHIE,0.014499999999999999
KATE,0.014499999999999999
PATTI,0.014499999999999999
LORENA,0.014499999999999999
KELLIE,0.014499999999999999
SONJA,0.014499999999999999
LILA,0.014499999999999999
LANA,0.014499999999999999
DARLA,0.014499999999999999
MAY,0.014499999999999999
MINDY,0.014499999999999999
ESSIE,0.014499999999999999
MANDY,0.014499999999999999
LORENE,0.013999999999999999
ELSA,0.013999999999999999
JOSEFINA,0.013999999999999999
JEANNIE,0.013999999999999999
MIRANDA,0.013999999999999999
DIXIE,0.013999999999999999
LUCIA,0.013999999999999999
MARTA,0.013999999999999999
FAITH,0.013999999999999999
LELA,0.013999999999999999
JOHANNA,0.013999999999999999
SHARI,0.013999999999999999
CAMILLE,0.013999999999999999
TAMI,0.013500000000000002
SHAWNA,0.013500000000000002
ELISA,0.013500000000000002
EBONY,0.013500000000000002
MELBA,0.013500000000000002
ORA,0.013500000000000002
NETTIE,0.013500000000000002
TABITHA,0.013500000000000002
OLLIE,0.013500000000000002
JAIME,0.013500000000000002
WINIFRED,0.013500000000000002
KRISTIE,0.013500000000000002
MARINA,0.013500000000000002
ALISHA,0.013500000000000002
AIMEE,0.013500000000000002
RENA,0.013500000000000002
MYRNA,0.013000000000000001
MARLA,0.013000000000000001
TAMMIE,0.013000000000000001
LATASHA,0.013000000000000001
BONITA,0.013000000000000001
PATRICE,0.013000000000000001
RONDA,0.013000000000000001
SHERRIE,0.013000000000000001
ADDIE,0.013000000000000001
FRANCINE,0.0125
DELORIS,0.0125
STACIE,0.0125
ADRIANA,0.0125
CHERI,0.0125
SHELBY,0.0125
ABIGAIL,0.0125
CELESTE,0.0125
JEWEL,0.0125
CARA,0.0125
ADELE,0.0125
REBEKAH,0.0125
LUCINDA,0.0125
DORTHY,0.0125
CHRIS,0.012
EFFIE,0.012
TRINA,0.012
REBA,0.012
SHAWN,0.012
SALLIE,0.012
AURORA,0.012
LENORA,0.012
ETTA,0.012
LOTTIE,0.012
KERRI,0.012
TRISHA,0.012
NIKKI,0.012
ESTELLA,0.012
FRANCISCA,0.012
JOSIE,0.012
TRACIE,0.012
MARISSA,0.012
KARIN,0.012
BRITTNEY,0.012
JANELLE,0.012
LOURDES,0.012
LAUREL,0.012
HELENE,0.012
FERN,0.012
ELVA,0.012
CORINNE,0.012
KELSEY,0.012
INA,0.0115
BETTIE,0.0115
ELISABETH,0.0115
AIDA,0.0115
CAITLIN,0.0115
INGRID,0.0115
IVA,0.0115
EUGENIA,0.0115
CHRISTA,0.0115
GOLDIE,0.0115
CASSIE,0.0115
MAUDE,0.0115
JENIFER,0.0115
THERESE,0.011000000000000001
FRANKIE,0.011000000000000001
DENA,0.011000000000000001
LORNA,0.011000000000000001
JANETTE,0.011000000000000001
LATONYA,0.011000000000000001
CANDY,0.011000000000000001
MORGAN,0.011000000000000001
CONSUELO,0.011000000000000001
TAMIKA,0.011000000000000001
ROSETTA,0.011000000000000001
DEBORA,0.011000000000000001
CHERIE,0.011000000000000001
POLLY,0.011000000000000001
DINA,0.011000000000000001
JEWELL,0.0105
FAY,0.0105
JILLIAN,0.0105
DOROTHEA,0.0105
NELL,0.0105
TRUDY,0.0105
ESPERANZA,0.0105
PATRICA,0.0105
KIMBERLEY,0.0105
SHANNA,0.0105
HELENA,0.0105
CAROLINA,0.0105
CLEO,0.0105
STEFANIE,0.0105
ROSARIO,0.01
OLA,0.01
JANINE,0.01
MOLLIE,0.01
LUPE,0.01
ALISA,0.01
LOU,0.01
MARIBEL,0.01
SUSANNE,0.01
BETTE,0.0095
SUSANA,0.0095
ELISE,0.0095
CECILE,0.0095
ISABELLE,0.0095
LESLEY,0.0095
JOCELYN,0.0095
PAIGE,0.0095
JONI,0.0095
RACHELLE,0.0095
LEOLA,0.0095
DAPHNE,0.0095
ALTA,0.0095
ESTER,0.0095
PETRA,0.0095
GRACIELA,0.0095
IMOGENE,0.0095
JOLENE,0.0095
KEISHA,0.0095
LACEY,0.009000000000000001
GLENNA,0.009000000000000001
GABRIELA,0.009000000000000001
KERI,0.009000000000000001
URSULA,0.009000000000000001
LIZZIE,0.009000000000000001
KIRSTEN,0.009000000000000001
SHANA,0.009000000000000001
ADELINE,0.009000000000000001
MAYRA,0.009000000000000001
JAYNE,0.009000000000000001
JACLYN,0.009000000000000001
GRACIE,0.009000000000000001
SONDRA,0.009000000000000001
CARMELA,0.009000000000000001
MARISA,0.009000000000000001
ROSALIND,0.009000000000000001
CHARITY,0.009000000000000001
TONIA,0.009000000000000001
BEATRIZ,0.009000000000000001
MARISOL,0.009000000000000001
CLARICE,0.009000000000000001
JEANINE,0.0085
SHEENA,0.0085
ANGELINE,0.0085
FRIEDA,0.0085
LILY,0.0085
ROBBIE,0.0085
SHAUNA,0.0085
MILLIE,0.0085
CLAUDETTE,0.0085
CATHLEEN,0.0085
ANGELIA,0.0085
GABRIELLE,0.0085
AUTUMN,0.0085
KATHARINE,0.0085
SUMMER,0.0085
JODIE,0.0085
STACI,0.0085
LEA,0.0085
CHRISTI,0.0085
JIMMIE,0.0085
JUSTINE,0.0085
ELMA,0.0085
LUELLA,0.0085
MARGRET,0.0085
DOMINIQUE,0.008
SOCORRO,0.008
RENE,0.008
MARTINA,0.008
MARGO,0.008
MAVIS,0.008
CALLIE,0.008
BOBBI,0.008
MARITZA,0.008
LUCILE,0.008
LEANNE,0.008
JEANNINE,0.008
DEANA,0.008
AILEEN,0.008
LORIE,0.008
LADONNA,0.008
WILLA,0.008
MANUELA,0.008
GALE,0.008
SELMA,0.008
DOLLY,0.008
SYBIL,0.008
ABBY,0.008
LARA,0.008
DALE,0.008
IVY,0.008
DEE,0.008
WINNIE,0.008
MARCY,0.008
LUISA,0.008
JERI,0.0075
MAGDALENA,0.0075
OFELIA,0.0075
MEAGAN,0.0075
AUDRA,0.0075
MATILDA,0.0075
LEILA,0.0075
CORNELIA,0.0075
BIANCA,0.0075
SIMONE,0.0075
BETTYE,0.0075
RANDI,0.0075
VIRGIE,0.0075
LATISHA,0.0075
BARBRA,0.0075
GEORGINA,0.0075
ELIZA,0.0075
LEANN,0.0075
BRIDGETTE,0.0075
RHODA,0.006999999999999999
HALEY,0.006999999999999999
ADELA,0.006999999999999999
NOLA,0.006999999999999999
BERNADINE,0.006999999999999999
FLOSSIE,0.006999999999999999
ILA,0.006999999999999999
GRETA,0.006999999999999999
RUTHIE,0.006999999999999999
NELDA,0.006999999999999999
MINERVA,0.006999999999999999
LILLY,0.006999999999999999
TERRIE,0.006999999999999999
LETHA,0.006999999999999999
HILARY,0.006999999999999999
ESTELA,0.006999999999999999
VALARIE,0.006999999999999999
BRIANNA,0.006999999999999999
ROSALYN,0.006999999999999999
EARLINE,0.006999999999999999
CATALINA,0.006999999999999999
AVA,0.006999999999999999
MIA,0.006999999999999999
CLARISSA,0.006999999999999999
LIDIA,0.006999999999999999
CORRINE,0.006999999999999999
ALEXANDRIA,0.006999999999999999
CONCEPCION,0.006999999999999999
TIA,0.006999999999999999
SHARRON,0.006999999999999999
RAE,0.006999999999999999
DONA,0.006999999999999999
ERICKA,0.006999999999999999
JAMI,0.006999999999999999
ELNORA,0.006999999999999999
CHANDRA,0.006999999999999999
LENORE,0.006999999999999999
NEVA,0.006500000000000001
MARYLOU,0.006500000000000001
MELISA,0.006500000000000001
TABATHA,0.006500000000000001
SERENA,0.006500000000000001
AVIS,0.006500000000000001
ALLIE,0.006500000000000001
SOFIA,0.006500000000000001
JEANIE,0.006500000000000001
ODESSA,0.006500000000000001
NANNIE,0.006500000000000001
HARRIETT,0.006500000000000001
LORAINE,0.006500000000000001
PENELOPE,0.006500000000000001
MILAGROS,0.006500000000000001
EMILIA,0.006500000000000001
BENITA,0.006500000000000001
ALLYSON,0.006500000000000001
ASHLEE,0.006500000000000001
TANIA,0.006500000000000001
TOMMIE,0.006500000000000001
ESMERALDA,0.006500000000000001
KARINA,0.006500000000000001
EVE,0.006500000000000001
PEARLIE,0.006500000000000001
ZELMA,0.006500000000000001
MALINDA,0.006500000000000001
NOREEN,0.006500000000000001
TAMEKA,0.006500000000000001
SAUNDRA,0.006500000000000001
HILLARY,0.006500000000000001
AMIE,0.006500000000000001
ALTHEA,0.006
ROSALINDA,0.006
JORDAN,0.006
LILIA,0.006
ALANA,0.006
GAY,0.006
CLARE,0.006
ALEJANDRA,0.006
ELINOR,0.006
MICHAEL,0.006
LORRIE,0.006
JERRI,0.006
DARCY,0.006
EARNESTINE,0.006
CARMELLA,0.006
TAYLOR,0.006
NOEMI,0.006
MARCIE,0.006
LIZA,0.006
ANNABELLE,0.006
LOUISA,0.006
EARLENE,0.006
MALLORY,0.006
CARLENE,0.006
NITA,0.006
SELENA,0.006
TANISHA,0.006
KATY,0.006
JULIANNE,0.006
JOHN,0.006
LAKISHA,0.0055000000000000005
EDWINA,0.0055000000000000005
MARICELA,0.0055000000000000005
MARGERY,0.0055000000000000005
KENYA,0.0055000000000000005
DOLLIE,0.0055000000000000005
ROXIE,0.0055000000000000005
ROSLYN,0.0055000000000000005
KATHRINE,0.0055000000000000005
NANETTE,0.0055000000000000005
CHARMAINE,0.0055000000000000005
LAVONNE,0.0055000000000000005
ILENE,0.0055000000000000005
KRIS,0.0055000000000000005
TAMMI,0.0055000000000000005
SUZETTE,0.0055000000000000005
CORINE,0.0055000000000000005
KAYE,0.0055000000000000005
JERRY,0.0055000000000000005
MERLE,0.0055000000000000005
CHRYSTAL,0.0055000000000000005
LINA,0.0055000000000000005
DEANNE,0.0055000000000000005
LILIAN,0.0055000000000000005
JULIANA,0.0055000000000000005
ALINE,0.0055000000000000005
LUANN,0.0055000000000000005
KASEY,0.0055000000000000005
MARYANNE,0.0055000000000000005
EVANGELINE,0.0055000000000000005
COLETTE,0.0055000000000000005
MELVA,0.0055000000000000005
LAWANDA,0.0055000000000000005
YESENIA,0.0055000000000000005
NADIA,0.0055000000000000005
MADGE,0.0055000000000000005
KATHIE,0.0055000000000000005
EDDIE,0.0055000000000000005
OPHELIA,0.0055000000000000005
VALERIA,0.0055000000000000005
NONA,0.0055000000000000005
MITZI,0.0055000000000000005
MARI,0.0055000000000000005
GEORGETTE,0.0055000000000000005
CLAUDINE,0.0055000000000000005
FRAN,0.0055000000000000005
ALISSA,0.0055000000000000005
ROSEANN,0.005
LAKEISHA,0.005
SUSANNA,0.005
REVA,0.005
DEIDRE,0.005
CHASITY,0.005
SHEREE,0.005
CARLY,0.005
JAMES,0.005
ELVIA,0.005
ALYCE,0.005
DEIRDRE,0.005
GENA,0.005
BRIANA,0.005
ARACELI,0.005
KATELYN,0.005
ROSANNE,0.005
WENDI,0.005
TESSA,0.005
BERTA,0.005
MARVA,0.005
IMELDA,0.005
MARIETTA,0.005
MARCI,0.005
LEONOR,0.005
ARLINE,0.005
SASHA,0.005
MADELYN,0.005
JANNA,0.005
JULIETTE,0.005
DEENA,0.005
AURELIA,0.005
JOSEFA,0.005
AUGUSTA,0.005
LILIANA,0.005
YOUNG,0.005
CHRISTIAN,0.005
LESSIE,0.005
AMALIA,0.005
SAVANNAH,0.005
ANASTASIA,0.005
VILMA,0.005
NATALIA,0.005
ROSELLA,0.005
LYNNETTE,0.005
CORINA,0.005
ALFREDA,0.0045000000000000005
LEANNA,0.0045000000000000005
CAREY,0.0045000000000000005
AMPARO,0.0045000000000000005
COLEEN,0.0045000000000000005
TAMRA,0.0045000000000000005
AISHA,0.0045000000000000005
WILDA,0.0045000000000000005
KARYN,0.0045000000000000005
CHERRY,0.0045000000000000005
QUEEN,0.0045000000000000005
MAURA,0.0045000000000000005
MAI,0.0045000000000000005
EVANGELINA,0.0045000000000000005
ROSANNA,0.0045000000000000005
HALLIE,0.0045000000000000005
ERNA,0.0045000000000000005
ENID,0.0045000000000000005
MARIANA,0.0045000000000000005
LACY,0.0045000000000000005
